,Brand,Model,Year,Age,KMDriven,Transmission,Owner,FuelType,PostedDate,AskPrice,TempKMDriven,TempAskPrice
0,Honda,City,2001,23,98000.0,Manual,second,Petrol,2024-11-01,37050000,Sangat Tinggi,Murah
1,Toyota,Innova,2009,15,190000.0,Manual,second,Diesel,2024-07-01,71250000,Sangat Tinggi,Murah
2,Volkswagen,VentoTest,2010,14,77246.0,Manual,first,Diesel,2024-11-01,35149810,Sangat Tinggi,Murah
3,Maruti Suzuki,Swift,2017,7,83500.0,Manual,second,Diesel,2024-11-01,107350000,Sangat Tinggi,Murah
4,Maruti Suzuki,Baleno,2019,5,45000.0,Automatic,first,Petrol,2024-11-01,130150000,Tinggi,Murah
5,BMW,X3,2014,10,83000.0,Automatic,first,Diesel,2024-11-01,256500000,Sangat Tinggi,Sedang
6,Toyota,Innova,2014,10,168000.0,Manual,second,Diesel,2024-11-01,194750000,Sangat Tinggi,Murah
7,BMW,5 Series,2019,5,25000.0,Automatic,second,Diesel,2024-11-01,1130500000,Rendah,Mahal
8,Maruti Suzuki,maruti-suzuki-dzire,2020,4,33759.0,Manual,second,Petrol,2024-11-01,118180000,Sedang,Murah
9,Ford,Ecosport,2017,7,69713.0,Manual,second,Petrol,2024-11-01,123310000,Sangat Tinggi,Murah
10,Maruti Suzuki,Alto-K10,2018,6,70000.0,Automatic,first,Petrol,2024-11-01,75050000,Sangat Tinggi,Murah
11,Kia,Carnival,2021,3,25000.0,Automatic,first,Diesel,2024-11-01,551000000,Rendah,Sedang
12,Maruti Suzuki,Swift-Dzire,2012,12,72700.0,Manual,second,Petrol,2024-11-01,45600000,Sangat Tinggi,Murah
13,Toyota,Corolla,2007,17,121931.0,Automatic,second,Petrol,2024-11-01,38256500,Sangat Tinggi,Murah
14,Mercedes-Benz,GLE COUPE,2021,3,32000.0,Automatic,second,Petrol,2024-10-01,2242000000,Sedang,Mahal
15,Hyundai,Xcent,2018,6,130000.0,Manual,second,Diesel,2024-11-01,62700000,Sangat Tinggi,Murah
16,Kia,Seltos,2020,4,68000.0,Manual,first,Diesel,2024-10-01,198550000,Sangat Tinggi,Murah
17,Maruti Suzuki,Ertiga,2016,8,65000.0,Manual,second,Diesel,2024-11-01,149150000,Sangat Tinggi,Murah
18,Maruti Suzuki,Ertiga,2017,7,59000.0,Automatic,second,Petrol,2024-11-01,105450000,Tinggi,Murah
19,BMW,3 Series GT,2015,9,61000.0,Automatic,second,Diesel,2024-11-01,285000000,Sangat Tinggi,Sedang
20,Ford,Endeavour,2019,5,77000.0,Automatic,second,Diesel,2024-11-01,455810000,Sangat Tinggi,Sedang
21,Toyota,Innova Crysta,2017,7,107000.0,Automatic,first,Diesel,2024-11-01,251750000,Sangat Tinggi,Sedang
22,Honda,City,2010,14,99000.0,Manual,first,Petrol,2024-11-01,56050000,Sangat Tinggi,Murah
23,Audi,A3,2015,9,42000.0,Automatic,second,Diesel,2024-11-01,199500000,Sedang,Murah
24,Renault,KWID,2019,5,48073.0,Automatic,second,Petrol,2024-11-01,67450000,Tinggi,Murah
25,MG,Hector,2019,5,32618.0,Automatic,first,Petrol,2024-10-01,237500000,Sedang,Sedang
26,Maruti Suzuki,Swift-Dzire,2012,12,70000.0,Manual,second,Diesel,2024-11-01,59850000,Sangat Tinggi,Murah
27,Maruti Suzuki,Celerio,2014,10,51000.0,Automatic,second,Petrol,2024-11-01,65550000,Tinggi,Murah
28,Maruti Suzuki,Vitara-Brezza,2018,6,137000.0,Manual,first,Diesel,2024-11-01,160550000,Sangat Tinggi,Murah
29,Toyota,2.8 Legender 4X2,2023,1,1996.0,Automatic,first,Diesel,2024-11-01,797050000,Sangat Rendah,Mahal
30,Toyota,Innova Crysta,2017,7,90000.0,Manual,second,Diesel,2024-11-01,370500000,Sangat Tinggi,Sedang
31,Toyota,Innova,2011,13,84000.0,Manual,second,Diesel,2024-11-01,93100000,Sangat Tinggi,Murah
32,Volvo,S90,2018,6,53000.0,Automatic,first,Diesel,2024-11-01,560500000,Tinggi,Sedang
33,Hyundai,Venue,2021,3,17000.0,Manual,first,Petrol,2024-11-01,130150000,Rendah,Murah
34,Maruti Suzuki,Ertiga,2018,6,70000.0,Manual,second,Petrol,2024-11-01,142310000,Sangat Tinggi,Murah
35,Hyundai,Creta,2023,1,5000.0,Automatic,first,Petrol,2024-11-01,304000000,Sangat Rendah,Sedang
36,Hyundai,Alcazar,2022,2,47110.0,Manual,second,Diesel,2024-11-01,322050000,Tinggi,Sedang
37,Hyundai,i20,2019,5,35000.0,Manual,first,Petrol,2024-11-01,111150000,Sedang,Murah
38,Mercedes-Benz,E-Class,2019,5,101570.0,Automatic,first,Diesel,2024-10-01,798000000,Sangat Tinggi,Mahal
39,Volkswagen,Polo,2021,3,42000.0,Manual,second,Petrol,2024-11-01,128250000,Sedang,Murah
40,Maruti Suzuki,Baleno,2018,6,30000.0,Manual,second,Petrol,2024-11-01,119700000,Sedang,Murah
41,Hyundai,Verna,2016,8,82100.0,Manual,second,Diesel,2024-11-01,88350000,Sangat Tinggi,Murah
42,Audi,A4,2012,12,90000.0,Automatic,second,Diesel,2024-08-01,170810000,Sangat Tinggi,Murah
43,Toyota,Fortuner,2011,13,193000.0,Manual,second,Diesel,2024-11-01,213750000,Sangat Tinggi,Sedang
44,Mercedes-Benz,C-Class,2015,9,65000.0,Automatic,first,Diesel,2024-11-01,332500000,Sangat Tinggi,Sedang
45,Hyundai,Creta,2022,2,30000.0,Automatic,second,Petrol,2024-11-01,321100000,Sedang,Sedang
46,Maruti Suzuki,Swift-Dzire,2020,4,94856.0,Manual,first,Petrol,2024-11-01,131100000,Sangat Tinggi,Murah
47,Skoda,Kushaq,2023,1,12000.0,Automatic,first,Petrol,2024-11-01,342000000,Sangat Rendah,Sedang
48,Maruti Suzuki,Ciaz,2018,6,0.0,Manual,first,Petrol,2024-11-01,95000000,Sangat Rendah,Murah
49,Tata,Safari,2010,14,500000.0,Manual,first,Diesel,2024-11-01,152000000,Sangat Tinggi,Murah
50,Toyota,Innova Crysta,2018,6,118000.0,Automatic,first,Diesel,2024-11-01,341050000,Sangat Tinggi,Sedang
51,Mercedes-Benz,C-Class,2016,8,41000.0,Automatic,second,Petrol,2024-10-01,380000000,Sedang,Sedang
52,Honda,City,2010,14,79000.0,Manual,second,Petrol,2024-11-01,55100000,Sangat Tinggi,Murah
53,Honda,BRV,2016,8,103001.0,Manual,second,Diesel,2024-11-01,105555450,Sangat Tinggi,Murah
54,Hyundai,Creta,2017,7,70000.0,Manual,second,Petrol,2024-11-01,145350000,Sangat Tinggi,Murah
55,Renault,Duster,2018,6,130000.0,Manual,first,Diesel,2024-11-01,131100000,Sangat Tinggi,Murah
56,Maruti Suzuki,Wagon-R,2011,13,78000.0,Manual,second,Petrol,2024-11-01,42750000,Sangat Tinggi,Murah
57,Toyota,Fortuner,2017,7,115000.0,Automatic,second,Diesel,2024-11-01,454100000,Sangat Tinggi,Sedang
58,Mahindra,Bolero Power Plus,2017,7,160000.0,Manual,second,Diesel,2024-11-01,104500000,Sangat Tinggi,Murah
59,Hyundai,Eon,2017,7,27000.0,Manual,second,Petrol,2024-10-01,57000000,Rendah,Murah
60,MG,Hector Plus,2020,4,81600.0,Automatic,first,Petrol,2024-11-01,193990000,Sangat Tinggi,Murah
61,Hyundai,Creta,2017,7,54000.0,Automatic,first,Petrol,2024-11-01,154090000,Tinggi,Murah
62,Mahindra,XUV500,2018,6,76000.0,Manual,first,Diesel,2024-11-01,213750000,Sangat Tinggi,Sedang
63,Mercedes-Benz,GLS,2014,10,86000.0,Automatic,first,Diesel,2024-11-01,570000000,Sangat Tinggi,Sedang
64,Hyundai,i10,2011,13,65000.0,Manual,second,Petrol,2024-11-01,21850000,Sangat Tinggi,Murah
65,Mercedes-Benz,GLA Class,2018,6,60000.0,Automatic,second,Diesel,2024-11-01,275500000,Sangat Tinggi,Sedang
66,Kia,Carens,2023,1,24000.0,Manual,first,Petrol,2024-11-01,232750000,Rendah,Sedang
67,Toyota,Innova,2011,13,100231.0,Manual,second,Diesel,2024-11-01,81529190,Sangat Tinggi,Murah
68,Maruti Suzuki,Ignis,2023,1,13000.0,Manual,second,Petrol,2024-11-01,115900000,Sangat Rendah,Murah
69,Hyundai,Grand i10,2017,7,47000.0,Manual,first,Petrol,2024-11-01,98799810,Tinggi,Murah
70,Hyundai,Getz Prime,2007,17,115031.0,Manual,second,Petrol,2024-11-01,26600000,Sangat Tinggi,Murah
71,Maruti Suzuki,Swift,2014,10,67000.0,Manual,first,Petrol,2024-11-01,53200000,Sangat Tinggi,Murah
72,Hyundai,Xcent,2016,8,74500.0,Manual,first,Diesel,2024-11-01,80750000,Sangat Tinggi,Murah
73,Honda,City,2016,8,93000.0,Automatic,second,Petrol,2024-11-01,109250000,Sangat Tinggi,Murah
74,Maruti Suzuki,Ritz,2015,9,59000.0,Manual,first,Petrol,2024-11-01,56050000,Tinggi,Murah
75,Toyota,Innova Crysta,2017,7,79000.0,Automatic,second,Diesel,2024-11-01,327750000,Sangat Tinggi,Sedang
76,Hyundai,Verna,2022,2,69000.0,Automatic,first,Diesel,2024-11-01,237500000,Sangat Tinggi,Sedang
77,Hyundai,Creta,2015,9,76000.0,Automatic,second,Diesel,2024-11-01,123500000,Sangat Tinggi,Murah
78,Kia,Sonet,2020,4,34500.0,Automatic,first,Petrol,2024-11-01,177650000,Sedang,Murah
79,Ford,Ecosport,2016,8,130000.0,Manual,second,Diesel,2024-11-01,76000000,Sangat Tinggi,Murah
80,Mercedes-Benz,GLC Coupe,2022,2,20000.0,Automatic,first,Diesel,2024-11-01,1425000000,Rendah,Mahal
81,Mahindra,Scorpio-N,2023,1,15905.0,Automatic,first,Diesel,2024-11-01,446500000,Rendah,Sedang
82,Toyota,Innova Crysta,2021,3,21000.0,Manual,first,Diesel,2024-11-01,403750000,Rendah,Sedang
83,Mini,Cooper 3 DOOR,2019,5,13000.0,Automatic,first,Petrol,2024-11-01,750500000,Sangat Rendah,Mahal
84,Maruti Suzuki,Ertiga,2015,9,75000.0,Manual,first,Diesel,2024-11-01,82650000,Sangat Tinggi,Murah
85,Volkswagen,Polo,2012,12,80000.0,Manual,second,Diesel,2024-11-01,57000000,Sangat Tinggi,Murah
86,Maruti Suzuki,Wagon-R,2016,8,50000.0,Manual,first,Petrol,2024-09-01,46550000,Tinggi,Murah
87,Tata,Nexon,2022,2,40000.0,Automatic,second,Petrol,2024-11-01,129200000,Sedang,Murah
